                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3399,                 2.2045,                 1.2133,                 0.5014,                0.33903,                0.35568,                0.13648,                 1.8617,                 2.9652,                 1.5408,              0.0006618,              0.0006618,              0.0006618
                      2,                 1.2519,                 1.3756,                 1.1502,                0.60285,                0.55197,                 0.5606,                0.23993,                 1.9393,                 2.2255,                 1.5128,              0.0013065,              0.0013065,              0.0013065
                      3,                 1.2062,                 1.1221,                 1.1549,                0.62894,                0.43017,                0.44256,                0.23573,                  1.926,                 2.0817,                   1.61,              0.0019293,              0.0019293,              0.0019293
                      4,                 1.1727,                0.99076,                 1.1285,                0.65484,                0.56771,                0.58548,                 0.2104,                 2.0501,                 1.7428,                 1.5975,               0.001901,               0.001901,               0.001901
                      5,                 1.1526,                0.89654,                 1.1159,                0.77926,                0.43561,                0.51507,                0.21677,                 1.9318,                 1.9131,                 1.5564,               0.001901,               0.001901,               0.001901
                      6,                 1.0965,                0.84756,                 1.1068,                0.57814,                0.45163,                0.50063,                0.26881,                 1.8104,                 1.7119,                 1.4227,               0.001868,               0.001868,               0.001868
                      7,                 1.0562,                0.79478,                 1.0792,                0.62684,                0.52652,                0.48473,                0.22628,                 1.8484,                 1.9363,                 1.5491,               0.001835,               0.001835,               0.001835
                      8,                 1.0663,                0.76524,                 1.0742,                0.63354,                0.41912,                 0.4722,                   0.21,                 2.1131,                 2.0181,                 1.6976,               0.001802,               0.001802,               0.001802
                      9,                 1.0189,                0.74366,                 1.0667,                0.66079,                 0.6272,                0.63659,                 0.3241,                 1.7667,                 1.4401,                 1.4719,               0.001769,               0.001769,               0.001769
                     10,                 1.0369,                 0.7501,                 1.0722,                0.70532,                 0.6553,                0.66613,                0.33379,                 1.7036,                 1.4452,                 1.3951,               0.001736,               0.001736,               0.001736
                     11,                 1.0043,                0.71753,                 1.0522,                0.77607,                0.63636,                0.70123,                0.38754,                 1.6075,                 1.2686,                 1.3518,               0.001703,               0.001703,               0.001703
